WRID,SRC,AMT_AF,D1,D2
1,3,63,60,304
2,3,50,60,304
3,3,50,60,304
4,3,13,1,365
5,3,1199,60,304
6,3,1605,60,304
7,3,1605,60,304
8,3,6,1,365
9,3,2803,60,304
10,3,2794,60,304
11,3,272,60,304
12,5,104,1,365
13,5,2,60,182
14,5,32,60,213
15,5,104,1,365
16,5,5,60,213
17,5,1,91,365
18,5,124,32,365
19,5,31,1,365
20,5,35,60,304
21,5,13,121,244
22,5,9,91,213
23,5,50,60,274
24,5,3,91,244
25,5,194,1,258
26,5,14,91,213
27,5,1,91,244
28,5,24,32,335
29,5,45,60,244
30,5,30,60,244
31,1,29,1,365
32,1,21,1,365
33,1,45,60,213
34,1,23,60,274
35,1,98,1,365
36,1,72,1,365
37,1,12,60,244
38,1,51,1,365
39,1,20,32,244
40,1,21,1,365
41,1,69,32,244
42,1,50,91,365
43,1,24,60,365
44,1,37,60,244
45,1,46,91,244
46,1,13,91,213
47,1,56,1,274
48,1,4,91,305
49,1,66,1,258
50,1,33,32,166
51,1,18,60,166
52,1,11,1,365
53,1,17,60,293
54,1,11,91,213
55,1,25,60,152
56,1,63,60,244
57,1,18,60,304
58,1,45,91,182
59,1,77,60,182
60,5,47,1,365
61,5,74,1,365
62,1,120,1,365
63,5,29,1,365
64,1,2,1,365
65,1,15,1,365
66,1,40,1,365
67,1,5,1,365
68,5,40,1,365
69,5,14,1,365
70,1,32,1,365
71,1,20,1,365
72,5,12,1,365
73,1,18,1,365
74,3,30,60,304
75,5,9,1,365
76,1,11,1,365
77,1,14,1,365
78,1,24,1,365
79,3,11,60,304
80,1,25,1,365
81,1,20,1,365
82,3,20,60,304
83,3,6,60,304
84,5,5,1,365
85,3,5,60,304
86,3,10,60,304
87,3,14,60,304
88,3,12,60,304
89,3,53,60,304
90,3,53,60,304
91,3,58,60,304
92,1,43,1,365
93,1,9,1,365
94,3,169,60,304
95,3,169,60,304
96,1,25,1,365
97,1,3,1,365
98,3,73,60,304
99,3,68,60,304
100,3,22,60,304
101,1,17,1,365
102,1,14,1,365
103,1,19,1,365
104,1,30,1,365
105,3,7,60,304
106,3,97,60,304
107,3,97,60,304
108,3,16,60,304
109,3,7,60,304
110,3,7,60,304
111,3,35,60,304
112,1,26,60,244
113,5,3,1,365
114,3,43,60,304
115,3,43,60,304
116,3,25,60,304
117,5,67,1,365
118,3,7,60,304
119,3,11,60,304
120,3,1,60,304
121,3,1,60,304
122,3,59,60,304
123,3,59,60,304
124,3,764,60,304
125,3,192,60,304
126,3,6,60,304
127,3,233,60,304
128,3,449,60,304
129,3,406,60,304
130,3,272,60,304
131,5,16,1,365
132,3,125,60,304
133,3,9,60,304
134,3,6,60,304
135,3,40,60,304
136,3,40,60,304
137,5,36,1,196
138,5,20,1,365
139,3,9,60,304
140,3,160,60,304
141,3,90,60,304
142,3,441,60,304
143,3,441,60,304
144,3,15,60,304
145,3,11,60,304
146,5,20,1,365
147,3,318,60,304
148,3,18,60,304
149,3,3,60,304
150,1,7,1,365
151,1,18,1,365
152,1,44,1,365
153,3,18,60,304
154,3,18,60,304
155,5,47,1,365
156,1,155,1,365
157,1,42,1,365
158,3,18,60,304
159,5,2488,1,365
160,5,9957,1,365
161,5,3527,1,365
162,1,715,1,365
163,1,74,1,365
164,5,5,1,365
165,5,6,1,365
166,1,52,91,258
167,5,7,60,274
168,5,77,32,244
169,5,20,1,365
170,5,34,1,365
171,3,64,60,304
172,5,72,32,244
173,5,9,1,365
174,5,6836,1,365
175,1,9,1,365
176,3,39,60,304
177,3,65,60,304
178,3,32,60,304
179,3,32,60,304
180,3,15,60,304
181,5,29,1,365
182,3,770,60,304
183,3,770,60,304
184,3,13,60,304
185,3,13,60,304
186,3,4,60,304
187,3,20,60,304
188,3,33,60,304
189,3,1454,60,304
190,3,226,60,304
191,3,77,60,304
192,1,109,91,244
193,1,16,91,244
194,1,14,1,365
195,3,161,1,365
196,3,34,60,304
197,3,183,60,304
198,3,53,60,304
199,5,3,1,365
200,3,84,60,304
201,5,9,1,365
202,3,24,60,304
203,5,160,1,365
204,5,77,1,365
205,5,250,1,365
206,5,70,1,365
207,5,70,1,365
208,5,53,1,365
209,3,14,60,304
210,1,16,32,304
211,5,31,91,161
212,3,98,60,304
213,3,856,60,304
214,3,13,60,304
215,5,21,60,244
216,1,18,1,365
217,3,64,60,304
218,5,5,1,365
219,5,9,1,365
220,3,25,60,304
221,3,686,1,365
222,5,50,60,244
223,5,3,1,365
224,5,45,1,365
225,3,107,60,304
226,3,107,60,304
227,5,181,1,365
228,5,29,1,365
229,3,14,60,304
230,3,59,60,304
231,3,523,60,304
232,3,271,60,304
233,1,79,1,365
234,3,15,60,273
235,3,120,60,304
236,5,92,1,365
237,5,40,1,365
238,3,717,60,304
239,3,246,60,304
240,3,57,60,304
241,5,23,1,365
242,5,43,1,365
243,1,98,1,365
244,1,71,1,365
245,1,74,1,365
246,1,74,1,365
247,5,35,60,213
248,5,6,1,365
249,5,28,60,244
250,5,22,1,365
251,3,40,91,288
252,5,160,1,365
253,1,36,1,365
254,3,20,105,273
999,0,0,1,365
